cards,sum
HH4 SS3 CA1,8
DA1 CC6 DA1,8
HH5 CA1 CC2,8
DD4 CA1 SS3,8
SS4 CA1 DD3,8
SS3 DA1 HH4,8
SA1 DA1 DD6,8
CC5 SA1 DD2,8
CA1 HH3 SS4,8
CA1 HH2 SS5,8
HH3 DD2 HH3,8
SS2 CC5 SA1,8
CA1 SS4 SS3,8
DA1 DA1 HH6,8
DD2 HH4 SS2,8
HA1 SS4 CC3,8
CC4 SS3 SA1,8
HH2 SA1 DD5,8
HA1 CC4 HH3,8
HH2 DD5 CA1,8
SA1 DD2 DD5,8
CA1 HH2 DD5,8
SS3 HH4 HA1,8
CC2 DD4 CC2,8
SA1 HH2 SS5,8
DD3 DD2 CC3,8
CC3 SS3 SS2,8
HA1 CC3 DD4,8
SS3 HH4 CA1,8
SS2 DD4 CC2,8
DA1 DD3 HH4,8
DD2 SS5 SA1,8
SA1 SA1 CC6,8
HH4 SA1 DD3,8
HA1 HH3 SS4,8
SS2 SS4 CC2,8
DD3 SS3 DD2,8
CC3 CA1 HH4,8
CC3 HH2 DD3,8
CC2 SS5 SA1,8
DD3 CC4 SA1,8
CC2 CC3 DD3,8
CC2 SA1 DD5,8
SS3 CA1 DD4,8
CC3 DD4 SA1,8
HA1 DD3 DD4,8
HH4 CA1 HH3,8
HA1 HA1 CC6,8
SS3 HH2 DD3,8
DA1 SS3 SS4,8
DD6 CA1 SA1,8
DA1 DD6 HA1,8
DA1 CA1 CC6,8
CA1 CC6 CA1,8
CC4 HA1 SS3,8
HH4 DD2 CC2,8
HH2 DD3 CC3,8
CA1 SS4 SS3,8
DD3 DA1 DD4,8
HH4 HH2 SS2,8
SS4 DD3 DA1,8
SS4 SS3 DA1,8
CC2 SS5 HA1,8
CC4 HH2 DD2,8
CC2 DA1 DD5,8
CC2 HH4 SS2,8
SS2 DD5 DA1,8
DD4 SS3 DA1,8
HH5 CC2 DA1,8
HH2 HH2 HH4,8
HA1 HH3 CC4,8
HH6 SS2 CA1,9
DD2 CC5 HH2,9
SS2 DD5 DD2,9
DD3 HH2 HH4,9
CC5 SS3 HA1,9
CA1 DD7 CA1,9
CC5 HH2 SS2,9
HH5 HA1 CC3,9
CC5 SS2 SS2,9
SS6 CA1 SS2,9
SS3 DD5 SA1,9
CA1 HH7 DA1,9
DA1 DD5 CC3,9
DD3 CC2 SS4,9
HA1 CC6 DD2,9
SA1 SS3 CC5,9
CC2 SS3 CC4,9
CA1 HA1 DD7,9
SS4 HA1 HH4,9
SS3 CA1 DD5,9
SS6 SA1 HH2,9
HH2 CC5 DD2,9
DA1 SS2 HH6,9
SS2 HH3 HH4,9
HH3 DD2 DD4,9
CC3 HH4 SS2,9
HH3 SS4 CC2,9
CC6 HA1 DD2,9
DA1 DD4 CC4,9
CC2 DA1 HH6,9
HH3 HA1 CC5,9
SA1 SS2 HH6,9
SS4 DA1 DD4,9
CC6 CA1 DD2,9
CC3 HA1 HH5,9
SA1 HH4 HH4,9
HA1 CC7 HA1,9
DD5 HH3 CA1,9
CC6 DD2 DA1,9
HH7 HA1 SA1,9
SS3 DD3 DD3,9
HH4 SS4 DA1,9
DD3 CC4 SS2,9
DD3 DD4 DD2,9
SS2 SS5 DD2,9
DD2 CC2 SS5,9
HH3 HH2 CC4,9
DD6 DA1 DD2,9
CC4 HH4 HA1,9
DD7 CA1 SA1,9
HH3 HA1 SS5,9
DD2 SS3 SS4,9
SA1 DD5 CC3,9
SS3 SS4 HH2,9
DD3 HH3 SS3,9
HA1 DD7 CA1,9
SA1 DD5 DD3,9
DD5 CC2 CC2,9
CC2 HH4 HH3,9
CA1 DD2 CC6,9
CC4 CA1 CC4,9
SS4 HH2 DD3,9
CC6 DA1 CC2,9
HH3 DD3 CC3,9
SS5 CC3 DA1,9
HH2 SS6 HA1,9
SS5 HH3 CA1,9
DD2 CC4 SS3,9
CC3 HA1 DD5,9
CC2 HH3 HH4,9
HA1 CC4 CC4,9
DD3 SA1 HH5,9
DD3 CC3 HH3,9
SS4 DA1 DD4,9
CA1 HH6 CC2,9
CA1 CC2 SS6,9
DD3 DD5 DA1,9
CC5 SA1 HH3,9
CC3 CC5 CA1,9
HH5 CC2 HH2,9
DA1 SS5 SS3,9
DD5 DA1 DD3,9
HH2 SS4 CC3,9
DD2 HA1 SS6,9
HA1 DD2 HH6,9
HH3 CA1 CC5,9
HH6 DA1 SS2,9
HH6 CA1 DD2,9
HH3 CC4 DD2,9
DD2 HH3 CC4,9
HH5 SS3 DA1,9
DA1 HH6 SS2,9
SA1 HH5 DD3,9
SS7 CA1 HA1,9
CC3 HH4 DD2,9
SA1 CC5 SS3,9
DA1 HH4 DD4,9
DA1 SS5 HH3,9
HH5 SA1 CC3,9
SS4 DD2 DD3,9
DA1 DD4 SS4,9
DA1 DA1 SS7,9
CA1 CC4 SS4,9
CC4 DD4 CA1,9
CC4 SS3 DD2,9
SA1 CC4 SS4,9
DD4 SS2 HH3,9
HA1 CA1 CC7,9
SS3 SS3 SS3,9
HH5 SA1 DD3,9
DD3 DA1 DD5,9
DD4 CC4 CA1,9
DD5 CA1 DD3,9
CC3 SS5 HA1,9
CC5 CC2 SS2,9
HH3 SA1 HH5,9
DD3 DD2 CC4,9
CC4 HH3 SS2,9
DD4 SS2 HH3,9
HH4 SS2 SS3,9
HH2 HH5 DD2,9
DD4 SS4 CA1,9
CC7 CA1 CA1,9
SS3 HH5 CA1,9
HH2 CC5 DD2,9
SS2 HH6 HA1,9
CC2 DD6 SA1,9
HA1 HH5 DD3,9
HA1 DA1 CC8,10
DD7 HH2 SA1,10
CA1 CC6 DD3,10
HH5 DA1 HH4,10
SS6 HH3 HA1,10
CC3 DD6 DA1,10
CA1 DD5 CC4,10
DD4 HH3 DD3,10
SS7 DD2 CA1,10
HH3 CC3 CC4,10
SS3 SA1 HH6,10
DD2 CC2 DD6,10
HH3 CC5 CC2,10
SS2 SS3 CC5,10
CC3 DD4 SS3,10
CC7 DA1 SS2,10
CC2 CC7 HA1,10
SS3 SS5 SS2,10
CC4 SS5 HA1,10
DD7 HA1 HH2,10
DA1 SS6 HH3,10
DD3 HH4 DD3,10
HA1 DD4 SS5,10
DD7 HA1 SS2,10
SS5 HH2 CC3,10
SS3 DD2 HH5,10
DD7 HH2 SA1,10
DD2 SS5 DD3,10
CC3 SA1 DD6,10
DD4 DD2 SS4,10
HH5 DD4 HA1,10
DD4 HH5 SA1,10
SS6 CA1 CC3,10
HA1 SS7 SS2,10
DD6 CC2 SS2,10
HA1 SS3 HH6,10
HA1 CC7 DD2,10
SA1 CC8 SA1,10
HH4 HH4 SS2,10
DD3 CC5 SS2,10
CC6 SS2 HH2,10
SS3 HA1 CC6,10
SS5 DD2 CC3,10
SS7 HH2 DA1,10
CC2 DA1 HH7,10
DA1 CC4 HH5,10
HH2 HH5 CC3,10
HH6 CA1 DD3,10
HH7 HA1 HH2,10
CC6 DD2 DD2,10
HH3 DD5 HH2,10
HA1 SS7 CC2,10
CC5 DD4 HA1,10
DD3 SS3 HH4,10
HA1 SS6 CC3,10
HA1 SS2 SS7,10
DD5 DD4 DA1,10
DD5 CC2 HH3,10
DD2 CC5 HH3,10
SS2 DD3 SS5,10
HA1 HH3 CC6,10
DD2 HH2 HH6,10
SS2 SA1 DD7,10
HH2 HH4 HH4,10
HH8 DA1 SA1,10
CA1 SS5 CC4,10
CC2 CA1 DD7,10
CA1 CC8 DA1,10
CC5 CA1 DD4,10
DD7 HA1 CC2,10
SS2 CA1 CC7,10
SA1 HH8 SA1,10
CC4 CC5 DA1,10
SA1 HH3 CC6,10
SS4 HH5 SA1,10
DA1 DD8 DA1,10
HH6 DD3 SA1,10
SS2 SS3 HH5,10
HH2 SA1 SS7,10
CC4 SA1 CC5,10
DD2 CA1 SS7,10
CA1 CC8 DA1,10
DD5 CC3 DD2,10
HA1 CA1 SS8,10
CC3 SS3 SS4,10
CC6 DA1 DD3,10
SS2 CC2 DD6,10
CA1 DD6 DD3,10
DA1 DD5 CC4,10
CC5 DD4 CA1,10
SS2 HA1 CC7,10
CA1 SS2 SS7,10
HA1 SS2 CC7,10
HH3 CC2 DD5,10
DD5 DD4 HA1,10
CC3 SA1 HH6,10
HA1 DA1 DD8,10
DD3 SS2 DD5,10
SS3 SS2 SS5,10
HH4 DD4 DD2,10
SS4 SS2 HH4,10
HH5 HH4 SA1,10
SS2 CC2 CC6,10
HH2 DD6 DD2,10
CC2 DD4 SS4,10
HA1 HH3 DD6,10
DD3 HH5 HH2,10
SS4 DD3 CC3,10
SS2 DD5 CC3,10
HH2 CC4 SS4,10
SS5 SA1 CC4,10
DD2 SS4 CC4,10
HA1 DD5 SS4,10
HH2 CC2 CC6,10
HH3 DD6 SA1,10
SS2 HH4 DD4,10
SS3 HH4 CC3,10
SS5 CC2 DD3,10
DA1 SS3 HH6,10
CC5 DA1 SS4,10
SS2 CC5 HH3,10
CA1 SS3 SS6,10
CA1 CC8 CA1,10
CC6 SS2 CC2,10
SS6 SA1 DD3,10
HH2 DD6 DD2,10
SA1 HH8 SA1,10
HH2 HA1 HH7,10
CC2 SS6 CC2,10
CC2 HH3 HH5,10
CC2 HH3 CC5,10
SS4 DD3 DD3,10
HH2 SS4 HH4,10
HH4 HH5 DA1,10
CC5 HA1 SS4,10
SS8 DA1 HA1,10
DD2 HH6 HH2,10
HH3 DD5 DD2,10
DA1 HH2 DD7,10
SS5 CC3 SS2,10
SS6 CC2 SS2,10
CA1 DD2 SS7,10
HH3 SS3 DD4,10
CC8 CA1 SA1,10
DA1 DD5 CC4,10
CC4 SS3 HH3,10
CA1 HH7 SS2,10
HH5 HH2 DD3,10
DA1 CC2 CC7,10
DA1 HH3 SS6,10
DD2 HH7 DA1,10
HH2 DD2 HH6,10
HH3 SS3 HH4,10
HH2 CA1 CC7,10
SS6 CA1 SS3,10
CC2 CC4 DD4,10
HH6 HH2 HH2,10
CC2 DD7 SA1,10
HH6 CC2 SS2,10
HH5 HH3 SS3,11
CC7 HH2 HH2,11
HH4 DD5 DD2,11
HH4 DD2 SS5,11
HH2 SS5 CC4,11
DD3 SS3 HH5,11
DD4 CA1 SS6,11
CC3 CA1 DD7,11
HH2 DD3 DD6,11
SS6 DD3 DD2,11
CC3 HA1 DD7,11
CC3 SS3 HH5,11
HH5 CA1 DD5,11
HH4 SS4 DD3,11
CC5 DD5 CA1,11
HH2 HH5 HH4,11
HH8 SA1 SS2,11
DD8 HA1 DD2,11
HH4 DD2 SS5,11
SS2 CC3 DD6,11
HH8 CA1 DD2,11
DA1 CC3 SS7,11
SS2 CC3 DD6,11
CC5 DD2 HH4,11
DD2 SS7 DD2,11
SA1 SS4 CC6,11
DD3 SA1 CC7,11
CA1 SA1 HH9,11
CA1 SS7 SS3,11
HH5 HA1 DD5,11
CA1 CC4 SS6,11
SA1 HH4 DD6,11
SS3 HA1 DD7,11
DD3 SS5 DD3,11
DA1 HH8 SS2,11
SS2 SS5 DD4,11
CC5 SS4 SS2,11
DD6 DD4 HA1,11
HH4 HH3 HH4,11
SS8 CC2 DA1,11
SS3 HH5 SS3,11
DD7 CC2 HH2,11
HH6 DD4 DA1,11
DD6 HH2 SS3,11
CA1 SS3 CC7,11
CC3 SS6 DD2,11
DD6 DD3 SS2,11
SS2 HH7 CC2,11
HH8 CC2 DA1,11
DA1 HH8 SS2,11
HH5 SS3 DD3,11
CC3 SS7 DA1,11
HH5 DD4 HH2,11
HH3 DD4 CC4,11
HA1 DD7 HH3,11
HH5 CA1 CC5,11
CC3 HH4 DD4,11
DA1 CC9 SA1,11
SS3 HH4 HH4,11
DD5 HA1 HH5,11
CC2 SS6 CC3,11
SS5 HA1 SS5,11
SA1 SS6 DD4,11
CC6 CA1 DD4,11
SS8 CA1 CC2,11
CC6 HH4 SA1,11
CC2 SS5 HH4,11
SA1 DD4 DD6,11
CA1 CC5 DD5,11
CC5 CC2 SS4,11
DD2 SS5 SS4,11
HH3 CA1 SS7,11
SS3 DA1 HH7,11
HH4 DD3 DD4,11
SA1 HH8 CC2,11
HH3 CC7 DA1,11
DA1 SS2 SS8,11
HH5 HH3 CC3,11
HH7 HH2 SS2,11
DD3 SS3 DD5,11
CC2 DD5 SS4,11
SS3 SS2 CC6,11
DD4 HH4 CC3,11
CA1 SA1 CC9,11
DA1 DD5 SS5,11
HH2 CC3 SS6,11
SS7 HH3 SA1,11
SS2 SS5 DD4,11
CC8 DA1 SS2,11
CA1 CC7 HH3,11
CC8 SS2 HA1,11
SS6 SA1 DD4,11
CC2 CC4 HH5,11
CC4 HH6 HA1,11
CC5 HH2 DD4,11
SA1 SS5 DD5,11
SS2 SS4 CC5,11
DD2 HH8 CA1,11
HH2 DD7 HH2,11
HA1 CC9 SA1,11
DA1 HH3 CC7,11
DA1 DD8 DD2,11
SS5 SS5 HA1,11
HH7 DD2 HH2,11
CC5 HH2 HH4,11
HH4 SS4 SS3,11
DD2 HH5 SS4,11
HH4 CC4 HH3,11
SS6 HH3 SS2,11
SS2 HH3 DD6,11
HA1 CC9 SA1,11
DD7 HH3 DA1,11
HH2 HH8 CA1,11
SS2 CC6 DD3,11
DD3 DD7 DA1,11
DD2 CC7 SS2,11
CC3 CC2 SS6,11
CC8 CA1 DD2,11
SS3 CC4 SS4,11
SA1 CC7 DD3,11
SS6 HH4 SA1,11
SS3 SS3 HH5,11
SS7 CC3 SA1,11
HA1 DD4 CC6,11
HH8 SA1 SS2,11
CA1 HH7 SS3,11
DD3 HA1 HH7,11
CC3 CC7 HA1,11
SA1 SS3 CC7,11
CC7 SS2 SS2,11
DA1 HH5 SS5,11
CC2 DD2 DD7,11
SS4 SA1 SS6,11
DD7 CC3 DA1,11
SS2 DD7 DD2,11
CC2 CC6 HH3,11
DD3 CC3 HH5,11
HH3 CC3 HH5,11
CC3 HH3 SS5,11
SS7 HH2 HH2,11
SS2 CC3 DD6,11
HH6 CC2 CC3,11
CC5 DD4 DD2,11
DD6 HA1 SS4,11
HH2 SS2 DD7,11
CC6 HA1 DD4,11
SA1 HA1 SS9,11
CC6 CC3 SS2,11
CA1 HH2 DD8,11
SS2 CC8 DA1,11
CC6 DA1 CC4,11
SS3 SA1 SS7,11
DD2 CC8 CA1,11
DD6 HH2 HH3,11
SS4 HH2 DD5,11
SS6 DD3 CC2,11
SS6 SA1 HH4,11
SS2 SS8 DA1,11
SS2 HH3 SS6,11
DD2 HA1 HH8,11
HH3 DD2 HH6,11
HH3 DD5 SS3,11
CC2 CC5 CC4,11
DD5 SS5 SA1,11
CC2 SS2 HH7,11
SS5 HH4 CC2,11
SA1 HH3 DD7,11
CA1 CC7 SS3,11
DD6 HA1 SS4,11
DD3 DD4 HH4,11
SA1 HH3 CC7,11
HA1 HH9 SA1,11
CC2 SS6 SS3,11
SS7 SS3 CA1,11
SA1 CC7 SS3,11
DD4 SA1 DD6,11
HA1 SS4 DD6,11
HA1 CC6 SS4,11
HH4 CA1 HH6,11
DD5 SS4 DD2,11
DD7 CC3 CA1,11
DA1 CC2 SS8,11
DD3 SS5 CC3,11
SS2 SS4 DD5,11
CC3 SS7 CA1,11
SS5 HA1 DD5,11
CC6 SS4 SA1,11
SS8 DA1 HH2,11
CC8 SA1 HH2,11
SS6 CC4 HA1,11
CC3 SS5 HH3,11
SS3 CC3 CC5,11
CC8 SS2 HA1,11
CC4 DA1 HH6,11
DD5 SA1 SS5,11
HH4 HH6 SA1,11
HH7 SS3 SA1,11
HH2 HH5 DD4,11
CC2 DD4 HH5,11
CC5 DD4 SS2,11
DA1 HH9 DA1,11
DD3 HH6 CC2,11
HH3 DD4 DD4,11
CC2 SA1 SS8,11
HH4 HH2 DD5,11
CA1 HH8 DD2,11
DD4 HH6 SA1,11
HH4 DD3 HH4,11
SS6 SA1 CC4,11
HH5 SS2 CC4,11
SS4 HA1 SS6,11
DD2 HH6 HH3,11
CA1 HH6 HH4,11
DD2 SS5 SS4,11
DD9 CA1 CA1,11
SS5 SA1 SS5,11
SA1 DD5 CC5,11
DA1 SS8 DD2,11
HH7 CC2 DD2,11
SS5 SS4 DD2,11
CA1 DD6 DD4,11
DD5 DD5 CA1,11
HH4 DD6 HA1,11
SS6 SA1 DD4,11
SA1 HH8 DD2,11
HH5 CC5 HA1,11
SS4 DD5 SS2,11
HH7 SA1 SS3,11
HH5 CC3 SS3,11
SS2 SS6 HH3,11
DD4 CC5 DD2,11
HA1 DD3 SS8,12
DA1 SS10 CA1,12
CC2 SS4 DD6,12
DD2 CC3 SS7,12
CC5 SS4 SS3,12
DD6 SA1 DD5,12
CA1 HA1 SJ10,12
SS5 DD2 DD5,12
DD4 HH2 CC6,12
HH8 HH3 HA1,12
SS6 DD2 SS4,12
CC5 DA1 SS6,12
SS7 SA1 SS4,12
SS3 CC3 DD6,12
SA1 DD7 HH4,12
CC4 HH4 HH4,12
DA1 DD4 HH7,12
SS7 CC3 HH2,12
DD2 SS6 SS4,12
DQ10 HA1 CA1,12
HH4 HH7 SA1,12
DD9 SS2 CA1,12
SA1 HA1 SJ10,12
CC5 SA1 CC6,12
HH8 DA1 DD3,12
HH4 DD7 HA1,12
HH5 SS5 HH2,12
CA1 HK10 HA1,12
DD4 DD2 SS6,12
HH3 HH8 CA1,12
DD3 HH4 SS5,12
CA1 DQ10 CA1,12
HH3 SS7 HH2,12
DD5 HH5 CC2,12
DD7 SA1 HH4,12
CC2 CC4 CC6,12
CC5 CC6 HA1,12
HQ10 CA1 HA1,12
SA1 DD10 DA1,12
HH2 CC2 DD8,12
DD2 HH5 CC5,12
CA1 CK10 CA1,12
SS3 CC6 DD3,12
DD3 HH3 DD6,12
DD2 SS3 CC7,12
DD2 HH3 DD7,12
SS5 DA1 HH6,12
HH7 CC4 SA1,12
SA1 SJ10 SA1,12
DD6 DD4 HH2,12
DD8 DD3 HA1,12
DD5 HH5 CC2,12
DD5 DD6 DA1,12
SS2 DD7 HH3,12
DD7 HA1 CC4,12
DD3 DA1 CC8,12
CC2 CC7 HH3,12
DA1 DQ10 SA1,12
DA1 HH4 SS7,12
CC5 CA1 HH6,12
HA1 HA1 CJ10,12
CC3 CC3 SS6,12
CC8 DD2 DD2,12
SA1 HA1 CJ10,12
DD2 HH5 HH5,12
SS3 DD4 HH5,12
CC5 CC4 CC3,12
SS3 HH4 SS5,12
SS8 CA1 DD3,12
CC2 CC8 HH2,12
HH3 SS3 HH6,12
CC9 DD2 DA1,12
DA1 DD7 DD4,12
DA1 CC5 HH6,12
DD5 DD6 DA1,12
DD2 SA1 HH9,12
SS2 CA1 HH9,12
HH6 SA1 SS5,12
SS3 CA1 HH8,12
DD6 HA1 CC5,12
SA1 DA1 SQ10,12
CC5 DD6 SA1,12
HA1 HK10 DA1,12
SS5 CA1 CC6,12
DD2 SS9 SA1,12
CC5 SS4 SS3,12
HA1 DD2 CC9,12
HH6 HH4 DD2,12
DD8 DD3 SA1,12
CC4 DD3 DD5,12
HH2 SS6 SS4,12
DA1 SS8 SS3,12
DD7 DD4 DA1,12
SS8 HA1 SS3,12
SJ10 CA1 DA1,12
DD4 CC6 HH2,12
HH2 CC2 HH8,12
CC3 HH5 SS4,12
DD2 SA1 SS9,12
CJ10 HA1 DA1,12
HA1 HJ10 HA1,12
DD10 SA1 CA1,12
DQ10 SA1 SA1,12
DD7 HH2 CC3,12
CQ10 DA1 DA1,12
HH10 CA1 DA1,12
SS3 CC6 SS3,12
CC6 HH4 CC2,12
SS8 HH3 HA1,12
DA1 CC4 DD7,12
CC6 CC5 CA1,12
CC2 SS3 HH7,12
SS7 HH4 HA1,12
DD3 CC6 HH3,12
SS7 DD4 SA1,12
HH7 DD4 HA1,12
CC2 CC8 CC2,12
CK10 SA1 CA1,12
SS5 HA1 DD6,12
SQ10 CA1 CA1,12
DD2 SA1 SS9,12
DD3 SS3 DD6,12
SA1 HH2 HH9,12
HH7 HH2 CC3,12
HH6 CC5 DA1,12
HH8 SS3 CA1,12
DD3 SS8 SA1,12
HH2 SS3 SS7,12
CC5 HH6 HA1,12
SA1 HA1 HJ10,12
SS10 SA1 HA1,12
SA1 HH5 DD6,12
SS10 SA1 CA1,12
DD3 DD6 SS3,12
DD4 CC2 CC6,12
DD9 HH2 DA1,12
DD4 HH5 SS3,12
HA1 SS7 HH4,12
DD5 DD4 CC3,12
SA1 DA1 SS10,12
CA1 CC4 CC7,12
DD7 SA1 SS4,12
DD6 SS4 HH2,12
CC2 DD9 HA1,12
HH2 DD9 DA1,12
CC6 DD5 CA1,12
DD8 CC3 SA1,12
DD3 CC4 HH5,12
DA1 DA1 DJ10,12
DJ10 HA1 CA1,12
SS7 CC4 SA1,12
CC5 HH4 CC3,12
DD2 DD9 HA1,12
SS10 DA1 HA1,12
SA1 SS5 HH6,12
SQ10 DA1 CA1,12
CC2 HH7 SS3,12
CC2 HH5 DD5,12
CC6 HH3 CC3,12
DD7 SS4 HA1,12
HH5 DD4 SS3,12
SS6 SS3 HH3,12
HH2 HH9 CA1,12
DA1 DA1 CQ10,12
HA1 DD9 HH2,12
SS4 DD6 HH2,12
HH5 DD5 SS2,12
CA1 SS6 DD5,12
SQ10 CA1 SA1,12
HA1 SQ10 DA1,12
CA1 DK10 HA1,12
CK10 DA1 DA1,12
HH7 HH4 SA1,12
CC4 SA1 HH7,12
HA1 HH4 HH7,12
CK10 HA1 SA1,12
DA1 CC10 DA1,12
HH5 CA1 SS6,12
DD3 CC2 HH7,12
CA1 CC8 SS3,12
HH5 DD6 SA1,12
HH4 CC6 CC2,12
SS7 HH3 HH2,12
DD6 SS3 CC3,12
DD2 HH2 CC8,12
CC4 SS2 DD6,12
DD8 SS3 SA1,12
DA1 DD9 HH2,12
CC8 DA1 DD3,12
CC3 CA1 SS8,12
CA1 DQ10 CA1,12
HH3 DD5 DD4,12
CC7 CC4 SA1,12
CC5 DD6 CA1,12
HH6 CC4 CC2,12
SA1 HA1 SS10,12
DD2 HH8 SS2,12
DA1 DK10 CA1,12
CA1 HH2 HH9,12
HH5 DD6 HA1,12
SA1 HH7 SS4,12
CC6 DD4 CC2,12
SS5 DD6 CA1,12
HH3 DD2 CC7,12
HH10 SA1 DA1,12
DA1 SA1 SK10,12
CA1 CC4 HH7,12
HH5 SS4 DD3,12
CC4 SS4 CC4,12
HH7 HH3 HH2,12
HA1 HH5 SS6,12
SS2 SS8 SS2,12
DD2 CC2 CC8,12
SA1 HQ10 CA1,12
HH6 CC3 SS3,12
DD7 SS2 SS3,12
DD4 HH2 HH6,12
SS3 HH3 DD6,12
SS4 HH3 CC5,12
SS8 CA1 HH3,12
HH7 DD3 DD2,12
SS3 HH4 HH5,12
HH3 HA1 DD8,12
CC3 DD4 DD5,12
HH10 HA1 HA1,12
SA1 SJ10 CA1,12
CC6 DD3 CC3,12
CC5 CC3 HH4,12
CC5 SS3 SS4,12
HH3 CA1 DD8,12
DD9 SA1 SS2,12
DA1 CC6 SS5,12
DD3 HH5 DD4,12
DD2 CA1 HH9,12
CC5 CC2 DD5,12
CA1 HH9 DD2,12
CA1 DD7 CC4,12
SS5 CC6 CA1,12
DD5 HH3 CC4,12
HA1 CJ10 CA1,12
DD2 SS5 SS5,12
DA1 CC9 DD2,12
CC4 SS5 HH3,12
CC9 SA1 HH2,12
DD2 DD9 SA1,12
SA1 HH8 SS3,12
HH7 HH3 CC2,12
HH8 HA1 DD3,12
DD5 CA1 HH6,12
CA1 DA1 SQ10,12
DD8 SS2 DD2,12
CA1 HH10 SA1,12
SS7 CA1 DD4,12
HH2 CC4 CC6,12
SA1 CC9 CC2,12
HH2 HH5 HH5,12
DD7 HH3 CC2,12
CQ10 HA1 HA1,12
HH5 CC2 SS5,12
